categoria,hasAnswer,hasAuthor,hasBanner,hasButton,hasBuy,hasCart,hasChat,hasComment,hasContent,hasControl,hasCountry,hasCustomer,hasDropdown,hasFilter,hasForm,hasForum,hasItemProp,hasMetaKeywords,hasNewsletter,hasOrder,hasPresentation,hasPrices,hasPrint,hasProduct,hasPurchase,hasRadio,hasRelNext,hasRelPrev,hasRelated,hasReply,hasReview,hasSale,hasSchemaOrg,hasShipping,hasSort,hasThread,hasUser,hasVotes,hasWishlist,hreflangCount,imgHasAlt,tag_a,tag_abbr,tag_article,tag_aside,tag_b,tag_button,tag_dd,tag_div,tag_dl,tag_em,tag_figcaption,tag_figure,tag_form,tag_h2,tag_h3,tag_h4,tag_h5,tag_h6,tag_hr,tag_i,tag_iframe,tag_img,tag_input,tag_label,tag_li,tag_ol,tag_p,tag_picture,tag_pre,tag_section,tag_select,tag_small,tag_span,tag_strong,tag_sup,tag_svg,tag_table,tag_tbody,tag_td,tag_th,tag_time,tag_tr,tag_ul,tag_video,word_count,word_count_no_boilerplate
E-commerce / Pagina di categoria,0,0,3,4,0,10,1,0,13,1,1,2,13,13,15,0,0,1,6,10,0,99,1,4,0,0,0,0,0,0,3,0,0,1,0,0,1,0,9,0,49,695,0,0,0,0,10,0,771,0,3,0,0,2,2,0,0,7,0,1,3,5,52,101,94,593,0,17,0,0,0,2,1,220,73,0,42,0,0,0,0,0,0,55,0,14151,2792
E-commerce / Pagina di categoria,0,0,1,4,0,9,2,0,5,7,0,0,0,3,7,0,9,0,16,0,1,31,0,292,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,747,0,0,0,0,1,0,214,0,0,0,0,1,9,4,0,0,0,0,33,1,33,6,4,716,0,4,0,0,3,0,0,701,1,0,2,0,0,0,0,0,0,134,0,9559,667
Contenuto editoriale,0,0,10,72,0,0,0,0,22,0,2,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,28,207,0,0,0,0,3,0,249,0,0,0,0,1,2,0,0,0,0,8,2,1,30,1,1,146,0,19,10,0,0,0,1,71,4,0,4,0,0,0,0,1,0,23,0,8112,5113
E-commerce / Pagina di categoria,0,0,20,0,0,6,0,0,17,4,13,3,2,3,16,0,0,1,4,2,0,30,0,103,0,6,0,0,0,0,0,29,0,0,8,0,5,0,14,0,51,186,0,0,0,0,7,0,334,0,0,18,18,6,15,33,0,0,0,0,25,1,52,18,19,97,0,29,18,0,2,1,0,109,5,0,0,5,5,730,25,0,151,19,0,24816,0
E-commerce / Pagina di categoria,0,0,5,18,0,23,2,0,13,8,5,3,0,32,24,0,4,1,4,2,3,19,0,63,0,4,0,0,0,0,0,0,1,0,4,0,3,0,12,23,43,676,0,0,0,0,8,0,347,0,12,0,0,7,12,0,0,0,0,0,0,8,44,52,37,645,13,63,0,0,0,8,0,124,10,0,0,0,0,0,0,0,0,102,0,10519,1240
Contenuto editoriale,0,0,2,3,0,0,0,0,4,0,0,0,0,7,11,0,2,0,9,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,13,146,0,0,0,0,0,0,304,0,18,0,0,2,3,6,1,0,0,0,0,26,23,8,0,94,0,9,7,0,1,0,0,69,34,0,4,0,0,0,0,0,0,17,0,11546,6037
E-commerce / Pagina di categoria,0,0,0,47,2,4,0,0,18,0,0,1,11,0,6,0,0,1,0,19,7,82,0,2,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,88,463,0,0,0,0,0,0,1410,0,0,0,0,8,54,2,13,6,0,1,525,0,111,357,327,474,0,4,0,0,0,3,0,2034,0,0,0,2,2,24,0,0,4,25,0,15095,1794
E-commerce / Pagina di categoria,0,0,0,68,1,4,0,0,20,1,0,1,11,0,4,0,0,1,0,26,5,44,0,30,2,5,0,0,0,0,0,0,0,0,3,0,0,0,1,0,46,359,0,0,0,0,0,0,822,0,16,0,0,5,29,2,34,4,0,1,118,3,57,47,28,195,1,4,0,0,0,3,0,723,0,0,0,2,2,24,0,0,4,31,0,11796,1443
Contenuto editoriale,0,0,0,19,0,0,0,0,8,0,0,0,4,2,5,0,14,0,0,18,0,16,0,77,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,80,357,0,1,1,0,0,0,470,0,0,0,0,2,17,45,5,0,0,0,56,7,82,3,0,132,0,10,0,0,0,0,0,95,11,0,0,0,0,0,0,8,0,34,0,15794,7402
Contenuto editoriale,0,1,0,19,0,0,0,0,5,1,0,0,0,0,16,0,2,0,0,0,0,9,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,56,133,0,7,1,0,1,0,181,0,0,0,0,4,21,1,3,0,0,0,11,2,67,4,0,87,0,31,0,0,0,0,0,43,19,0,0,0,0,0,0,0,0,18,0,7847,3383
Contenuto editoriale,0,13,16,55,0,0,0,0,42,103,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,40,193,0,0,0,0,26,0,330,0,1,0,0,1,5,2,0,0,0,2,20,18,42,7,12,134,0,23,0,0,0,18,0,338,34,0,0,4,4,8,0,0,4,34,6,10526,5322
E-commerce / Pagina di categoria,0,0,2,177,0,41,0,0,64,0,9,2,12,7,2,0,0,0,3,4,0,17,0,38,0,0,0,0,0,0,0,17,1,0,9,0,1,0,139,54,55,433,0,0,0,0,55,0,530,0,0,0,0,3,1,0,20,1,52,0,0,0,97,9,3,365,0,26,0,0,21,0,0,189,8,0,190,0,0,0,0,0,0,49,0,8783,2302
E-commerce / Pagina di categoria,0,0,0,2,0,11,0,0,19,3,0,0,1,0,6,0,5,0,5,0,2,4,0,46,0,0,0,0,6,0,0,0,0,1,0,0,1,0,4,0,10,493,0,0,0,0,4,0,135,0,2,0,0,3,0,0,0,3,3,0,0,1,12,9,4,501,1,17,0,0,0,0,1,486,20,0,0,1,1,2,2,0,2,108,0,6670,1298
Contenuto editoriale,0,2,0,3,0,0,0,0,6,1,0,0,0,0,8,0,30,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,24,63,0,1,0,0,0,0,118,0,18,0,0,1,12,2,2,0,0,0,0,18,30,2,1,54,0,42,0,0,0,0,0,57,21,0,0,0,0,0,0,1,0,9,0,4788,3668
E-commerce / Pagina di categoria,0,0,4,1315,0,1666,0,0,13,0,1,0,0,196,4,0,0,0,7,10,0,82,0,972,0,0,0,0,0,0,0,1,1,0,0,0,30,0,11,0,87,181,0,0,1,0,2,0,1231,0,0,0,0,7,6,1,0,0,0,0,0,6,246,51,27,157,0,170,0,0,1,0,0,2032,0,0,0,0,0,0,0,0,0,12,0,14476,2286
E-commerce / Pagina di categoria,0,0,0,8,0,194,0,0,13,5,1,0,18,21,12,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,48,362,0,0,0,0,4,0,438,0,0,0,0,4,1,0,0,0,0,0,206,0,51,25,2,22,0,7,0,0,0,0,0,228,12,0,0,0,0,0,0,0,0,3,0,6850,1967
Contenuto editoriale,0,1,10,312,0,0,0,0,22,0,2,0,0,0,71,0,3,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,87,219,0,0,0,0,3,0,1195,0,2,0,0,1,1,0,0,0,0,8,2,1,89,1,1,101,0,2,70,0,0,0,1,393,7,0,4,0,0,0,0,1,0,18,0,10597,2537
E-commerce / Pagina di categoria,0,0,0,257,0,0,0,0,11,0,0,0,14,54,1,0,10,0,5,255,0,417,0,3696,0,0,0,0,0,0,10,2,0,0,8,0,0,0,0,0,398,932,0,0,0,0,3,8,2421,2,0,0,0,3,1,10,0,0,0,0,0,11,398,10,3,315,1,14,0,0,2,0,0,1531,251,0,10,0,0,0,0,0,0,31,0,40765,5484
E-commerce / Pagina di categoria,0,0,58,170,0,7,1,0,17,0,69,4,0,0,16,0,1056,1,32,0,0,183,0,706,0,1,0,0,0,0,0,83,0,0,13,0,15,0,2,17,318,1666,0,0,0,0,22,0,1071,0,0,0,0,6,1,244,8,4,0,0,72,3,318,7,2,1542,135,9,80,0,0,3,0,483,1,0,0,0,0,0,0,0,0,211,0,23363,567
